 ---------------------------
     Z     DZ     BUOY      
 ---------------------------
      10.7347      10.7347       0.0000
      40.2408      29.5061       0.0000
      82.5862      42.3455       0.0000
     136.1152      53.5290       0.0000
     202.3848      66.2696       0.0000
     281.3318      78.9470       0.0000
     372.8680      91.5362       0.0000
     476.9060     104.0380       0.0000
     593.3369     116.4309       0.0000
     722.0432     128.7063       0.0000
     862.8900     140.8468       0.0000
    1015.6724     152.7824       0.0000
    1180.1613     164.4889       0.0000
    1356.1611     175.9999       0.0118
    1543.4657     187.3045       0.0410
    1740.8403     197.3746       0.0656
    1945.2255     204.3851       0.0836
    2154.3137     209.0883       0.1003
    2368.1592     213.8455       0.1166
    2587.2332     219.0739       0.1324
    2811.6440     224.4110       0.1478
    3041.4980     229.8541       0.1626
    3276.9028     235.4049       0.1767
    3517.9656     241.0627       0.1902
    3764.7888     246.8231       0.2030
    4017.4839     252.6951       0.2149
    4276.1562     258.6721       0.2260
    4540.9097     264.7533       0.2361
    4811.8472     270.9373       0.2451
    5089.0679     277.2209       0.2531
    5372.6694     283.6017       0.2597
    5662.7451     290.0755       0.2651
    5959.3799     296.6349       0.2691
    6262.6577     303.2778       0.2715
    6572.6509     309.9933       0.2724
    6889.4219     316.7712       0.2715
    7213.0264     323.6044       0.2687
    7543.5029     330.4765       0.2641
    7880.8789     337.3762       0.2573
    8225.1680     344.2895       0.2484
    8576.3662     351.1982       0.2371
    8934.4570     358.0907       0.2234
    9299.4053     364.9485       0.2072
    9671.1670     371.7619       0.1883
   10049.6895     378.5226       0.1665
   10434.9160     385.2264       0.1418
   10826.7842     391.8678       0.1140
   11225.2363     398.4521       0.0830
   11630.2266     404.9906       0.0486
   12042.3906     412.1645       0.0066
   12464.7539     422.3633       0.0000
   12901.8027     437.0484       0.0000
   13361.9658     460.1633       0.0000
   13861.9473     499.9814       0.0000
   14427.2822     565.3347       0.0000
   15099.2363     671.9543       0.0000
   15952.7041     853.4682       0.0000
   17114.6582    1161.9547       0.0000
   18663.7148       0.0000       0.0000
   20954.2852       0.0000       0.0000
